model,draw,band,layer,mean_logit_contrib,std_logit_contrib,median_logit_contrib,method
pythia-410m,draw_2,control,11,-0.11137287318706512,0.21935902535915375,-0.10557764768600464,direct
pythia-410m,draw_2,control,12,-0.12675060331821442,0.17863206565380096,-0.12450125813484192,direct
pythia-410m,draw_2,control,13,-0.07376408576965332,0.241110160946846,-0.07760800421237946,direct
pythia-410m,draw_2,control,14,0.037460584193468094,0.22188323736190796,0.025742430239915848,direct
pythia-410m,draw_2,control,15,0.13467878103256226,0.24038173258304596,0.10658548027276993,direct
pythia-410m,draw_2,control,16,0.006686958018690348,0.28959986567497253,0.013212457299232483,direct
pythia-410m,draw_2,control,17,0.12676164507865906,0.3185327649116516,0.10165609419345856,direct
pythia-410m,draw_2,control,18,0.12357077747583389,0.3491022288799286,0.150287926197052,direct
pythia-410m,draw_2,control,19,0.1966797262430191,0.3153926730155945,0.23254545032978058,direct
pythia-410m,draw_2,control,20,0.15474897623062134,0.23900754749774933,0.15468117594718933,direct
pythia-410m,draw_2,control,21,0.12321772426366806,0.3496186137199402,0.16907760500907898,direct
pythia-410m,draw_2,control,22,0.4994809925556183,0.42901116609573364,0.5214399099349976,direct
pythia-410m,draw_2,control,23,2.86853289604187,0.7049133777618408,2.8400087356567383,direct
pythia-410m,draw_3,low,0,-0.025634242221713066,0.27931252121925354,-0.012709580361843109,direct
pythia-410m,draw_3,low,1,-0.023406511172652245,0.13024842739105225,-0.02653418481349945,direct
pythia-410m,draw_3,low,2,-0.014562763273715973,0.13029660284519196,-0.012600898742675781,direct
pythia-410m,draw_3,low,3,0.005273403599858284,0.15605388581752777,0.014247961342334747,direct
pythia-410m,draw_3,low,4,-0.023946309462189674,0.15683646500110626,-0.009823635220527649,direct
pythia-410m,draw_3,low,5,-0.010733267292380333,0.21334600448608398,-0.01949889212846756,direct
pythia-410m,draw_3,low,6,0.053819503635168076,0.1612423062324524,0.04874340444803238,direct
pythia-410m,draw_3,low,7,0.03498702123761177,0.19222864508628845,0.04931352287530899,direct
pythia-410m,draw_3,low,8,-0.0013504661619663239,0.2387511432170868,0.024763718247413635,direct
pythia-410m,draw_3,low,9,-0.0818452462553978,0.2646010220050812,-0.07015230506658554,direct
pythia-410m,draw_3,low,10,0.04716775193810463,0.24284058809280396,0.046612367033958435,direct
pythia-410m,draw_3,low,11,-0.15415112674236298,0.2398327887058258,-0.15201687812805176,direct
pythia-410m,draw_3,low,12,-0.11382439732551575,0.19004051387310028,-0.12976154685020447,direct
