model,draw,band,layer,mean_kl,median_kl,std_kl
pythia-70m,draw_3,very_high,2,16.006498336791992,15.96644401550293,3.13824200630188
pythia-70m,draw_3,very_high,3,10.194578170776367,10.604120254516602,3.4861209392547607
pythia-70m,draw_3,very_high,4,7.140207290649414,7.3591485023498535,2.823594808578491
pythia-70m,draw_3,very_high,5,0.0,0.0,0.0
pythia-70m,draw_3,control,0,16.248445510864258,15.89594554901123,2.4516751766204834
pythia-70m,draw_3,control,1,16.138996124267578,15.67236328125,2.474807024002075
pythia-70m,draw_3,control,2,15.66047191619873,15.921791076660156,3.244425058364868
pythia-70m,draw_3,control,3,10.485870361328125,10.591058731079102,3.676935911178589
pythia-70m,draw_3,control,4,7.275717258453369,7.22715950012207,2.7204275131225586
pythia-70m,draw_3,control,5,0.0,0.0,0.0
pythia-160m,draw_1,low,0,16.466217041015625,16.321866989135742,2.588383436203003
pythia-160m,draw_1,low,1,16.091096878051758,15.923700332641602,2.576667070388794
pythia-160m,draw_1,low,2,16.453001022338867,16.24648666381836,2.505282163619995
pythia-160m,draw_1,low,3,16.886255264282227,16.63943099975586,2.4536612033843994
pythia-160m,draw_1,low,4,15.217185974121094,15.286834716796875,2.846477508544922
pythia-160m,draw_1,low,5,10.82126235961914,10.861993789672852,3.195133924484253
pythia-160m,draw_1,low,6,11.308039665222168,11.020428657531738,3.3916666507720947
pythia-160m,draw_1,low,7,10.517045021057129,10.366647720336914,2.8014743328094482
pythia-160m,draw_1,low,8,7.969715118408203,8.02297592163086,2.807697057723999
pythia-160m,draw_1,low,9,6.2361273765563965,6.399066925048828,2.6313765048980713
pythia-160m,draw_1,low,10,6.134548664093018,6.099593162536621,2.7497570514678955
pythia-160m,draw_1,low,11,0.0,0.0,0.0
pythia-160m,draw_1,medium,0,16.62529945373535,16.45148468017578,2.877626419067383
pythia-160m,draw_1,medium,1,16.307958602905273,16.021474838256836,2.7685554027557373
pythia-160m,draw_1,medium,2,16.69328498840332,16.32868003845215,2.7962188720703125
pythia-160m,draw_1,medium,3,17.180273056030273,16.942140579223633,2.6253979206085205
pythia-160m,draw_1,medium,4,15.177151679992676,14.921968460083008,3.1211965084075928
pythia-160m,draw_1,medium,5,10.595917701721191,10.627284049987793,3.136986017227173
