model,draw,band,layer,mean_rank,median_rank,frac_top1,frac_top5
pythia-410m,draw_1,medium,4,21620.035555555554,20198.0,0.0,0.0
pythia-410m,draw_1,medium,5,20305.346666666668,18853.0,0.0,0.0
pythia-410m,draw_1,medium,6,18650.64,16155.0,0.0,0.0
pythia-410m,draw_1,medium,7,17253.11111111111,14432.0,0.0,0.0
pythia-410m,draw_1,medium,8,16290.715555555556,13471.0,0.0044444444444444444,0.0044444444444444444
pythia-410m,draw_1,medium,9,15921.24888888889,12104.0,0.0,0.0
pythia-410m,draw_1,medium,10,5859.537777777778,2022.0,0.0044444444444444444,0.013333333333333334
pythia-410m,draw_1,medium,11,701.9066666666666,119.0,0.03111111111111111,0.10222222222222223
pythia-410m,draw_1,medium,12,845.0844444444444,127.0,0.02666666666666667,0.08888888888888889
pythia-410m,draw_1,medium,13,984.7733333333333,145.0,0.017777777777777778,0.09333333333333334
pythia-410m,draw_1,medium,14,784.1466666666666,104.0,0.035555555555555556,0.11555555555555555
pythia-410m,draw_1,medium,15,305.5911111111111,32.0,0.09333333333333334,0.24
pythia-410m,draw_1,medium,16,59.346666666666664,1.0,0.48,0.7022222222222222
pythia-410m,draw_1,medium,17,9.062222222222223,0.0,0.6888888888888889,0.8711111111111111
pythia-410m,draw_1,medium,18,0.9155555555555556,0.0,0.8755555555555555,0.9822222222222222
pythia-410m,draw_1,medium,19,1.2533333333333334,0.0,0.7866666666666666,0.9733333333333334
pythia-410m,draw_1,medium,20,1.288888888888889,0.0,0.7822222222222223,0.9777777777777777
pythia-410m,draw_1,medium,21,0.4666666666666667,0.0,0.9288888888888889,0.9911111111111112
pythia-410m,draw_1,medium,22,0.008888888888888889,0.0,0.9911111111111112,1.0
pythia-410m,draw_1,medium,23,0.008888888888888889,0.0,0.9911111111111112,1.0
pythia-410m,draw_1,high,0,22818.844444444443,22210.0,0.0,0.0
pythia-410m,draw_1,high,1,22505.684444444443,22055.0,0.0,0.0
pythia-410m,draw_1,high,2,22324.737777777777,21776.0,0.0,0.0
pythia-410m,draw_1,high,3,20485.591111111113,19579.0,0.0,0.0
