node,node_type,layer,in_degree,out_degree,total_degree,model,band,draw
M1,mlp,1,10,26,36,pythia-70m,high,draw_3
A2.1,attn,2,5,15,20,pythia-70m,high,draw_3
A2.4,attn,2,9,10,19,pythia-70m,high,draw_3
A2.6,attn,2,10,13,23,pythia-70m,high,draw_3
A2.7,attn,2,9,11,20,pythia-70m,high,draw_3
M2,mlp,2,15,19,34,pythia-70m,high,draw_3
embed,embed,-1,0,20,20,pythia-70m,high,draw_3
A3.1,attn,3,23,9,32,pythia-70m,high,draw_3
A0.0,attn,0,1,9,10,pythia-70m,high,draw_3
A0.1,attn,0,1,13,14,pythia-70m,high,draw_3
A0.7,attn,0,1,19,20,pythia-70m,high,draw_3
A1.1,attn,1,4,13,17,pythia-70m,high,draw_3
A1.6,attn,1,1,8,9,pythia-70m,high,draw_3
A1.7,attn,1,1,7,8,pythia-70m,high,draw_3
A2.0,attn,2,3,4,7,pythia-70m,high,draw_3
A2.2,attn,2,3,7,10,pythia-70m,high,draw_3
A2.3,attn,2,8,9,17,pythia-70m,high,draw_3
A2.5,attn,2,4,5,9,pythia-70m,high,draw_3
A3.2,attn,3,1,2,3,pythia-70m,high,draw_3
A3.3,attn,3,21,4,25,pythia-70m,high,draw_3
A3.4,attn,3,14,6,20,pythia-70m,high,draw_3
A3.5,attn,3,15,4,19,pythia-70m,high,draw_3
A3.6,attn,3,14,7,21,pythia-70m,high,draw_3
A3.7,attn,3,3,3,6,pythia-70m,high,draw_3
R5,resid,5,52,0,52,pythia-70m,high,draw_3
A0.2,attn,0,1,7,8,pythia-70m,high,draw_3
A0.6,attn,0,1,3,4,pythia-70m,high,draw_3
A1.0,attn,1,0,5,5,pythia-70m,high,draw_3
A1.5,attn,1,1,6,7,pythia-70m,high,draw_3
M3,mlp,3,24,12,36,pythia-70m,high,draw_3
