model,draw,band,layer,head,entropy_base,entropy_circuit,delta_entropy
pythia-70m,draw_2,low,0,4,2.139983892440796,2.139983892440796,0.0
pythia-70m,draw_2,low,0,5,1.7464008331298828,1.7464008331298828,0.0
pythia-70m,draw_2,low,0,6,2.121671199798584,2.121671199798584,0.0
pythia-70m,draw_2,low,0,7,2.2944352626800537,2.2944352626800537,0.0
pythia-70m,draw_2,low,1,0,3.778623819351196,3.7786238193511963,4.440892098500626e-16
pythia-70m,draw_2,low,1,1,2.1019599437713623,2.1019599437713623,0.0
pythia-70m,draw_2,low,1,2,2.619047880172729,2.6190478801727295,4.440892098500626e-16
pythia-70m,draw_2,low,1,3,2.892434597015381,2.892434597015381,0.0
pythia-70m,draw_2,low,1,4,3.193919897079468,3.1939198970794678,-4.440892098500626e-16
pythia-70m,draw_2,low,1,5,3.264199733734131,3.264199733734131,0.0
pythia-70m,draw_2,low,1,6,3.37492299079895,3.37492299079895,0.0
pythia-70m,draw_2,low,1,7,1.8251246213912964,1.8251246213912964,0.0
pythia-70m,draw_2,low,2,0,3.186713933944702,3.2022347450256348,0.015520811080932617
pythia-70m,draw_2,low,2,1,0.6863754391670227,0.6909084916114807,0.004533052444458008
pythia-70m,draw_2,low,2,2,3.704669713973999,3.701672077178955,-0.0029976367950439453
pythia-70m,draw_2,low,2,3,3.2754557132720947,3.275954484939575,0.0004987716674804688
pythia-70m,draw_2,low,2,4,1.8803330659866333,1.8943907022476196,0.014057636260986328
pythia-70m,draw_2,low,2,5,3.9176855087280273,3.92209529876709,0.0044097900390625
pythia-70m,draw_2,low,2,6,1.906777024269104,1.9182652235031128,0.011488199234008789
pythia-70m,draw_2,low,2,7,2.57641339302063,2.582300901412964,0.005887508392333984
pythia-70m,draw_2,low,3,0,2.246957540512085,2.2378673553466797,-0.009090185165405273
pythia-70m,draw_2,low,3,1,1.1522310972213743,1.1533504724502563,0.001119375228882058
pythia-70m,draw_2,low,3,2,3.662255525588989,3.678530216217041,0.016274690628052202
pythia-70m,draw_2,low,3,3,2.748993396759033,2.7646689414978027,0.01567554473876953
pythia-70m,draw_2,low,3,4,3.0351343154907227,3.0553858280181885,0.02025151252746582
pythia-70m,draw_2,low,3,5,0.8338574171066284,0.842804491519928,0.00894707441329956
pythia-70m,draw_2,low,3,6,0.5251052379608154,0.5181721448898315,-0.006933093070983887
